customer_id,customer_name,email,city,country,signup_date
1,Allison Hill,donaldgarcia@example.net,New Roberttown,Bermuda,2025-03-04
2,Lance Hoffman,lrobinson@example.com,Port Lindachester,UAE,2025-06-07
3,Daniel Gallagher,daviscolin@example.com,Lindsaymouth,UAE,2025-11-06
4,Thomas Miller,maria95@example.net,Lake Chad,UAE,2026-02-11
5,Dylan Miller,michellejames@example.com,Franciscostad,Cote d'Ivoire,2026-02-18
6,Timothy Wong,amandasanchez@example.com,Nelsonside,Cyprus,2026-03-01
7,Randy Brown,trujillorichard@example.org,New Nancy,Germany,2025-02-28
8,Jennifer Rocha,ithomas@example.org,Juliechester,UAE,2026-08-14
9,Heidi Osborn,williamdavis@example.org,East Courtneychester,UAE,2025-12-23
10,James Ferrell,tasha01@example.net,Kaylamouth,UAE,2024-12-11
11,Christopher Smith,teresa28@example.org,Meaganhaven,UAE,2026-01-02
12,James Martin,georgetracy@example.org,Natashaport,UAE,2025-03-20
13,Shawn Arroyo,dennislisa@example.net,East Donna,UAE,2025-11-17
14,Joseph Obrien,sarahcampos@example.net,Lake Larry,UAE,2026-02-19
15,Jessica Holmes,wrightcaleb@example.org,New Jeffrey,Barbados,2026-03-19
16,Crystal Whitehead,chad34@example.net,Lewisberg,UAE,2026-03-31
17,Laura Kennedy,maguirre@example.org,Lake Ryanchester,UAE,2025-08-01
18,Nicholas Nunez,brownjessica@example.org,East James,UAE,2025-08-30
19,Clifford Ford,ramosmichelle@example.net,North Deniseside,Taiwan,2024-09-27
20,Tammy Allison,richardolson@example.com,East Nicholasfurt,UAE,2025-04-09
21,Rachel Mitchell,smoore@example.org,New Jillton,San Marino,2025-05-17
22,Kevin Shaw,brianromero@example.org,New Carlosbury,Iraq,2024-12-18
23,Laura Riley,harveyrobert@example.net,Sarahborough,UAE,2026-02-18
24,Cynthia Foster,stephen10@example.com,North Amandahaven,UAE,2025-04-09
25,Gregory Jones,mikemoore@example.net,Cherylhaven,Algeria,2026-02-16
26,Elizabeth Alvarado,josephpreston@example.net,West Juan,UAE,2025-02-26
27,Christina Walters,william40@example.org,Calderonton,UAE,2024-09-18
28,Carlos Whitney,joycearnold@example.com,North Charlesberg,UAE,2025-11-13
29,Jacob Tran,tanderson@example.com,West Jasonbury,Papua New Guinea,2024-12-04
30,Justin Baxter,sarayoung@example.org,South Angel,Saint Pierre and Miquelon,2026-09-04
31,Timothy Pham,josephcobb@example.org,Brennanfort,Cyprus,2025-02-18
32,Julia Torres,jeffreykeller@example.com,Joshualand,Sierra Leone,2025-04-20
33,Jordan Frazier,sheila14@example.org,Benjaminchester,UAE,2025-06-11
34,Emily Obrien,cruzbarbara@example.com,Lake Ryanhaven,Uzbekistan,2026-06-04
35,Michelle Harmon,michaeljones@example.net,Cindyville,UAE,2026-03-29
36,Katie Estrada,richard48@example.org,South Elizabeth,UAE,2025-07-07
37,Stephanie Gilbert,richard04@example.com,South Kristi,New Caledonia,2026-02-06
38,Jeremy Lowe,yleon@example.net,Lake Christopher,Malaysia,2026-02-13
39,Frances Cardenas,emilywalker@example.org,North Brandon,Lebanon,2026-01-03
40,Angel Perry,jennifercruz@example.com,East Diana,UAE,2024-09-20
41,Shannon Mcclure,zrobinson@example.net,Williamsbury,United States Virgin Islands,2026-07-06
42,Casey Marshall,stephanie79@example.net,Rivasside,UAE,2025-08-28
43,Natasha Wells,karen48@example.com,West Scott,UAE,2026-03-24
44,Devon Flores,taylorjesse@example.net,Lake Jason,UAE,2025-08-04
45,Joshua Perry,marissaprice@example.net,Port Nicoleshire,UAE,2025-07-08
46,Tommy Evans,acastaneda@example.net,South Jeffrey,UAE,2025-08-20
47,Mr. Michael Yates,marycalhoun@example.net,South Brittanytown,UAE,2024-11-20
48,Brandy Murray,greenmark@example.com,Matthewfurt,UAE,2025-04-20
49,Sandra King,ruizkaitlyn@example.org,Jeffreyland,Slovakia (Slovak Republic),2026-02-04
50,Andre Wright,howelljohn@example.com,New Staciemouth,UAE,2026-03-13
51,Jacob Obrien,stricklandfrank@example.com,New Anthonyport,UAE,2025-12-07
52,Tina Sanders,charlesvaughn@example.net,North Heidi,UAE,2025-05-08
